video_index,title,bv_id,url,duration,upload_time,local_video_path
1,[录播] 过往（国一狼狗中单） 2026-05-31 21点场 青训峡谷千分狼狗中单，峡谷国标第一狼狗 p01 过往（国一狼狗中单）2026-05-31T21_02_41,BV1hgVQ6eEzh,https://www.bilibili.com/video/BV1hgVQ6eEzh,60.0min,2026-05-31,
2,[录播] 过往（国一狼狗中单） 2026-05-31 13点场 青训峡谷千分狼狗中单，峡谷国标第一狼狗 p01 过往（国一狼狗中单）2026-05-31T13_02_31,BV1L1VJ6nE7n,https://www.bilibili.com/video/BV1L1VJ6nE7n,60.0min,2026-05-31,
3,[录播] 过往（国一狼狗中单） 2026-05-30 21点场 青训峡谷千分狼狗中单，峡谷国标第一狼狗 p01 过往（国一狼狗中单）2026-05-30T21_14_13,BV1HsVL6EEGc,https://www.bilibili.com/video/BV1HsVL6EEGc,60.0min,2026-05-30,
